"","NTDID","Agency","SSW","Mode","TOS","Capital.Use.Type","Guideway","Passenger.Stations","Administrative.Buildings","Maintenance.Buildings","Revenue.Vehicles","Service.Vehicles..non.revenue.","Fare.Revenue.Collection.Equipment","Communications.Information.Systems","Other","Small.Systems.Waiver","Total.Funds"
"67","4144","Hall Area Transit","N","MB","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,57498,NA,57498
"68","4144","Hall Area Transit","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"69","4153","vRide, Inc. - Atlanta","N","VP","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"70","4153","vRide, Inc. - Atlanta","N","VP","DO","Existing Service",NA,NA,NA,NA,5062452,NA,NA,NA,NA,NA,5062452
"71","4161","Cherokee County Board of Commissioners","Y","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"72","4161","Cherokee County Board of Commissioners","Y","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"73","4161","Cherokee County Board of Commissioners","Y","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"74","4161","Cherokee County Board of Commissioners","Y","MB","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"75","4161","Cherokee County Board of Commissioners","Y","MB","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"76","4161","Cherokee County Board of Commissioners","Y","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"77","4177","Buckhead Community Improvement District","N","MB","PT","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,1853,NA,1853
"78","4177","Buckhead Community Improvement District","N","MB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"79","4180","University of Georgia Transit System","N","DR","DO","Existing Service",NA,NA,NA,NA,73500,NA,NA,NA,NA,NA,73500
"80","4180","University of Georgia Transit System","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"81","4180","University of Georgia Transit System","N","MB","DO","Existing Service",NA,NA,4461,159101,117102,NA,NA,17205,NA,NA,297869
"82","4180","University of Georgia Transit System","N","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83","4181","Henry County Transit","Y","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"84","4181","Henry County Transit","Y","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,774302,774302
"85","4181","Henry County Transit","Y","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"86","4193","Liberty Transit","Y","MB","PT","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"87","4193","Liberty Transit","Y","MB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"88","4193","Liberty Transit","Y","MB","PT","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"89","4203","Enterprise Rideshare","N","VP","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"90","4203","Enterprise Rideshare","N","VP","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"91","4230","City of Atlanta - Department of Public Works - Transit Division","N","SR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92","4230","City of Atlanta - Department of Public Works - Transit Division","N","SR","DO","Expanded Service",20876391,632066,NA,828029,9455973,NA,NA,NA,2787567,NA,34580026
